ST_RT_NO,CTY_CODE,JURIS,SEG_NO,LANE_CNT,STREET_NAME,TRAF_RT_NO_PREFIX,SIDE_IND,ROUTE_DIR,SPEED_LIMIT,STREET_NAME_NO_SUF,STREET_SUF,RTESIGNING,OBJECTID,GEOMETRYLEN
AHZP,02,4,0050,2,REED ST,,1,B,25,REED ,ST,4,3756048,0
AI1B,02,4,0010,2,ROBERTS ST,,1,B,25,ROBERTS ,ST,4,3756191,0
AI1B,02,4,0020,2,ROBERTS ST,,1,B,25,ROBERTS ,ST,4,3756192,0
AI1B,02,4,0030,2,ROBERTS ST,,1,B,25,ROBERTS ,ST,4,3756193,0
AI1B,02,4,0040,2,ROBERTS ST,,1,B,25,ROBERTS ,ST,4,3756194,0
AI1B,02,4,0050,2,ROBERTS ST,,1,B,25,ROBERTS ,ST,4,3756195,0
AI1B,02,4,0060,2,ROBERTS ST,,1,B,25,ROBERTS ,ST,4,3756196,0
AI1Y,02,4,0010,2,ROSE ST,,1,B,25,ROSE ,ST,4,3756237,0
AI2Q,02,4,0010,2,ROWLEY ST,,1,B,25,ROWLEY ,ST,4,3756313,0
AI2Q,02,4,0020,2,ROWLEY ST,,1,B,25,ROWLEY ,ST,4,3756314,0
AI5N,02,4,0010,2,SEAL ST,,1,B,25,SEAL ,ST,4,3756684,0
AI7E,02,4,0010,2,SHINGISS ST,,1,B,25,SHINGISS ,ST,4,3756863,0
AI7E,02,4,0020,2,SHINGISS ST,,1,B,25,SHINGISS ,ST,4,3756864,0
AI7F,02,4,0010,2,SHIPTON ST,,1,B,25,SHIPTON ,ST,4,3756865,0
AIC1,02,4,0010,2,SWEENEY WY,,1,B,25,SWEENEY ,WY,4,3757379,0
AIC7,02,4,0010,2,SYCAMORE ST,,1,B,25,SYCAMORE ,ST,4,3757391,0
AIC7,02,4,0020,2,SYCAMORE ST,,1,B,25,SYCAMORE ,ST,4,3757392,0
AIC7,02,4,0030,2,SYCAMORE ST,,1,B,25,SYCAMORE ,ST,4,3757393,0
AIC7,02,4,0040,2,SYCAMORE ST,,1,B,25,SYCAMORE ,ST,4,3757394,0
AIC7,02,4,0050,2,SYCAMORE ST,,1,B,25,SYCAMORE ,ST,4,3757395,0
AID9,02,4,0010,2,THIRTEENTH ST,,1,B,25,THIRTEENTH ,ST,4,3757521,0
AID9,02,4,0020,2,THIRTEENTH ST,,1,B,25,THIRTEENTH ,ST,4,3757522,0
AID9,02,4,0030,2,THIRTEENTH ST,,1,B,25,THIRTEENTH ,ST,4,3757523,0
AIF3,02,4,0010,2,TUSTIN ST,,1,B,25,TUSTIN ,ST,4,3757752,0
AIF3,02,4,0020,2,TUSTIN ST,,1,B,25,TUSTIN ,ST,4,3757753,0
AIF3,02,4,0030,2,TUSTIN ST,,1,B,25,TUSTIN ,ST,4,3757754,0
AIF7,02,4,0010,2,TWELFTH ST,,1,B,25,TWELFTH ,ST,4,3757767,0
AIF7,02,4,0020,2,TWELFTH ST,,1,B,25,TWELFTH ,ST,4,3757768,0
AIF7,02,4,0030,2,TWELFTH ST,,1,B,25,TWELFTH ,ST,4,3757769,0
AIFM,02,4,0010,2,ULYSSES ST,,1,B,25,ULYSSES ,ST,4,3757845,0
AIFM,02,4,0020,2,ULYSSES ST,,1,B,25,ULYSSES ,ST,4,3757846,0
AIGC,02,4,0010,2,VAN BRAAM ST,,1,B,25,VAN BRAAM ,ST,4,3757907,0
AIGC,02,4,0020,2,VAN BRAAM ST,,1,B,25,VAN BRAAM ,ST,4,3757908,0
AIGC,02,4,0030,2,VAN BRAAM ST,,1,B,25,VAN BRAAM ,ST,4,3757909,0
AIGC,02,4,0040,2,VAN BRAAM ST,,1,B,25,VAN BRAAM ,ST,4,3757910,0
AIGC,02,4,0050,2,VAN BRAAM ST,,1,B,25,VAN BRAAM ,ST,4,3757911,0
AIGC,02,4,0060,2,VAN BRAAM ST,,1,B,25,VAN BRAAM ,ST,4,3757912,0
